distance,no_vehc,day,time,age,purpose,outcome
3,5,1,1,21,1,11.5
5,25,4,3,26,1,20.1
6,6,2,1,24,1,14.3
9,15,5,1,30,1,20.3
4,11,5,1,43,2,22
5,26,6,3,42,2,26.6
1,24,1,3,19,1,15.6
7,8,6,1,47,2,24
6,17,2,3,30,2,20.4
1,10,6,3,32,1,15.6
3,13,1,3,24,2,15.5
6,5,1,3,33,1,18
9,28,4,3,40,1,28.6
8,14,1,2,24,1,18
7,1,4,1,46,2,21.9
8,22,6,2,50,1,29.8
1,25,2,2,47,2,27
4,29,5,3,59,2,34
4,10,5,2,35,2,18.6
2,22,5,2,56,1,29.4
5,23,5,2,22,1,17.6
1,1,6,3,56,2,22.7
8,14,5,2,24,2,17.4
2,25,1,3,44,1,26.4
2,1,3,2,57,1,23.9
4,1,6,3,24,2,11.4
8,13,3,1,25,2,17.8
5,4,1,3,45,1,22
8,3,3,2,41,2,21.3
8,24,2,2,59,1,34.8
7,15,5,1,55,1,29.3
3,6,1,2,37,2,18.5
4,12,4,2,32,1,18
8,29,2,1,50,2,32.8
2,25,1,2,53,1,29.9
8,16,1,3,45,1,27.1
8,12,5,3,56,2,29.7
6,14,4,1,19,2,14.5
8,12,3,1,56,2,29.9
3,10,5,2,19,1,11.5
8,3,1,2,35,2,19.3
1,5,3,3,29,1,13.5
3,17,2,3,45,1,24.7
2,29,3,2,18,1,16.7
1,5,6,1,32,1,13.9
5,26,1,2,55,2,32.7
6,19,5,2,53,1,29.3
5,14,5,3,40,2,22.4
6,27,4,1,42,1,27.4
4,23,6,3,56,2,30.8
8,13,6,3,48,2,26.6
8,25,3,1,51,2,31.8
2,29,6,2,38,2,24.3
6,15,4,3,58,2,30.6
5,18,5,2,41,1,23.7
2,11,1,1,22,2,13.4
2,1,6,1,59,1,24
2,6,3,1,34,2,16.3
4,10,3,3,56,2,27.5
9,17,5,2,34,1,22.6
3,8,4,1,39,1,19
6,3,4,2,49,1,23.1
8,11,5,2,27,2,17.7
4,20,4,3,30,2,19.9
8,16,4,2,36,2,23
1,19,1,2,43,1,23.6
7,27,2,3,47,2,30.7
4,27,1,3,33,2,23.8
7,5,3,3,42,1,21.7
2,12,4,2,31,2,16.8
4,24,5,1,23,2,17.9
2,27,1,1,19,1,16.8
7,23,3,3,34,1,23.9
7,2,6,1,59,1,26.8
8,1,2,2,55,2,26.5
8,23,3,3,19,2,18.6
6,24,5,3,48,1,28.9
7,4,3,3,48,2,24
3,20,4,2,58,1,30.3
5,28,3,2,29,1,22.3
3,17,5,1,22,1,14.7
8,27,4,2,47,2,30.7
5,9,5,2,39,1,20.2
4,14,3,1,31,1,18.3
9,2,4,3,47,2,23.8
8,17,1,1,25,2,19.4
1,14,2,1,53,2,26
5,18,6,2,23,2,16.5
2,19,4,2,20,1,14.3
6,2,6,1,27,2,13.7
5,10,6,2,39,2,20.5
1,12,2,3,37,1,19
8,12,6,2,50,2,27
4,7,4,2,55,1,25.7
1,24,6,3,34,2,20.8
4,2,3,3,30,1,14.5
6,3,5,1,42,1,20
7,2,4,3,52,2,24.8
2,5,4,1,57,1,24.8
6,11,3,3,41,1,22.6
7,7,3,3,41,2,22.1
2,1,1,3,56,1,24
6,23,2,2,28,2,21.3
1,6,6,1,23,1,10.6
6,27,1,3,30,1,23.4
8,18,5,3,28,2,20.3
3,14,6,1,59,1,28.4
2,17,1,1,31,1,18.6
6,12,6,3,54,2,27.7
3,18,2,2,25,1,16.9
8,29,6,3,52,2,33
6,8,6,3,27,1,15.5
8,29,6,1,31,2,24.4
2,5,2,1,57,1,25.2
9,21,1,2,23,2,20.4
5,16,6,2,46,2,25.1
8,3,5,3,35,1,18.4
